Area_desc,full_name
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Antonio Cuccaro
SCIENZE GIURIDICHE ,Silvio Sonnati
SCIENZE GIURIDICHE ,VALERIA ALLOCCA
SCIENZE ECONOMICHE E STATISTICHE ,GIULIA GUIDI
SCIENZE MEDICHE,Benedetta Nacmias
SCIENZE MEDICHE,Paola Costelli
SCIENZE ECONOMICHE E STATISTICHE ,ALBA ROVIELLO
SCIENZE ECONOMICHE E STATISTICHE ,Manuela  Stranges
SCIENZE MEDICHE,Paola Canale
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Vanna Boffo
SCIENZE MEDICHE,Stefano  Salvioli
SCIENZE POLITICHE E SOCIALI ,Tiziana Nazio
SCIENZE MEDICHE,Spinello  Gioi
SCIENZE BIOLOGICHE ,GABRIELE CHELINI
SCIENZE ECONOMICHE E STATISTICHE ,Pasquale  Giacobbe
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",ILARIA CHIRICO
SCIENZE ECONOMICHE E STATISTICHE ,Marta Pittavino
SCIENZE MEDICHE,Alice Masini
SCIENZE ECONOMICHE E STATISTICHE ,PIETRO BELLONI
INGEGNERIA CIVILE E ARCHITETTURA ,MARIANGELA PERILLO
SCIENZE BIOLOGICHE ,Alessandra Bigi
SCIENZE ECONOMICHE E STATISTICHE ,Cecilia Tomassini
SCIENZE MEDICHE,Elvira Filicetti
 SCIENZE MATEMATICHE E INFORMATICHE ,Dimitri Belli
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Luigi  Bruno
SCIENZE ECONOMICHE E STATISTICHE ,Emilio  Russo
SCIENZE ECONOMICHE E STATISTICHE ,Elena Pirani
 SCIENZE MATEMATICHE E INFORMATICHE ,Stefania Bandini
SCIENZE MEDICHE,Matteo  Franchi
 SCIENZE MATEMATICHE E INFORMATICHE ,Francesca Gasparini
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Debora Daddi
SCIENZE MEDICHE,Luca Busetto
SCIENZE BIOLOGICHE ,Luisa Ricci
SCIENZE BIOLOGICHE ,Ainhoa Viana Alzola
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Riaz Majid
SCIENZE ECONOMICHE E STATISTICHE ,Massimo  Costabile
SCIENZE MEDICHE,CHIARA BONTEMPO
SCIENZE ECONOMICHE E STATISTICHE ,Aleksandra Torbica
SCIENZE BIOLOGICHE ,Lorenzo Neri
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",ALESSIA VALMORI
SCIENZE ECONOMICHE E STATISTICHE ,Michele Maccarini
SCIENZE ECONOMICHE E STATISTICHE ,Nancy Zambon
SCIENZE POLITICHE E SOCIALI ,Enrico Biale
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Alessandro Ovidio Paris Ramalli
SCIENZE BIOLOGICHE ,Giulia Ferrarese
SCIENZE ECONOMICHE E STATISTICHE ,Gabriella Piscopo
SCIENZE ECONOMICHE E STATISTICHE ,Emilio CAMELI
SCIENZE MEDICHE,Rosamaria  Lappano
SCIENZE GIURIDICHE ,Arianna Fusaro
SCIENZE ECONOMICHE E STATISTICHE ,Chiara Rapallini
SCIENZE ECONOMICHE E STATISTICHE ,Salierno Martina
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Navid Nobani
SCIENZE POLITICHE E SOCIALI ,Anna Galeotti
SCIENZE ECONOMICHE E STATISTICHE ,Lorenzo Schiavon
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Chiara  Verbano
SCIENZE BIOLOGICHE ,Giulia Sautariello
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Francesca Romana Loberto
SCIENZE MEDICHE,Federico Emanuele Pozzi
SCIENZE MEDICHE,MATTIA LAFFRANCHI
SCIENZE BIOLOGICHE ,Daniela Capello
SCIENZE ECONOMICHE E STATISTICHE ,Matteo  Pelagatti
SCIENZE BIOLOGICHE ,Fabrizio Chiti
SCIENZE BIOLOGICHE ,Erika Di Domenico
SCIENZE MEDICHE,Guglielmo Bonaccorsi
INGEGNERIA CIVILE E ARCHITETTURA ,Francesca Tosi
SCIENZE ECONOMICHE E STATISTICHE ,Gessica Vella
SCIENZE POLITICHE E SOCIALI ,Gloria Zuccarelli
SCIENZE POLITICHE E SOCIALI ,ROSA GATTI
SCIENZE ECONOMICHE E STATISTICHE ,Federico DE LUCA 
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Alessandra Sorrentino 
SCIENZE BIOLOGICHE ,ONOFRIO VALENTE
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Aiman  Rashid
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Federico Carpi
SCIENZE ECONOMICHE E STATISTICHE ,Giammarco Alderotti
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Cristina Banchi
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Maria Caterina  Mannone
SCIENZE POLITICHE E SOCIALI ,Elena Allegri
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Andrea MANNI
INGEGNERIA CIVILE E ARCHITETTURA ,Nicoletta Setola
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Antonio Lanatà
SCIENZE BIOLOGICHE ,Enrico Milan
SCIENZE MEDICHE,Silvia Giunco
 SCIENZE MATEMATICHE E INFORMATICHE ,Davide Donato RUSSO
SCIENZE GIURIDICHE ,MARIA LUISA CINIGLIO
SCIENZE MEDICHE,Gianluca Aimaretti
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Sara Pegoraro
SCIENZE ECONOMICHE E STATISTICHE ,Giuliano Resce
SCIENZE MEDICHE,Daniela Monti
SCIENZE ECONOMICHE E STATISTICHE ,Jan Mazza
SCIENZE MEDICHE,Alessandra Buja
SCIENZE ECONOMICHE E STATISTICHE ,Raffaele Guetto
 SCIENZE MATEMATICHE E INFORMATICHE ,Davide Chicco
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Beatrice Francalanci 
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Davide  Cino
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Roberta  Daini
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",ANGELA RUSSO 
SCIENZE BIOLOGICHE ,Marco Linari
SCIENZE GIURIDICHE ,Sara Landini
